polski,angielski,niemiecki,włoski,chorwacki,czeski,węgierski,grecki,serbski
Jestem z... / Skąd jesteś?,I'm from... / Where are you from?,Ich komme aus…/ Woher kommst du ?,Io vengo da… / di dove sei?,Ja sam iz ... / Gdje si?,Jsem z ... / odkud jsi,... érkeztem / honnan jöttél?,íme apò/apò pu íse,Ja sam iz ... (np. Poljske) / Odakle si?
Czy mówisz po ...?,Do you speak...?,Sprichst du…?,Parli…?,Govorite li ...?,Mluvíte ...?,Beszélsz,milàte,Govoriš li...?
...angielsku? / ...niemiecku? / ...hiszpańsku? / ...francusku?,..english? / ...german? / ... spanish? / french?,...englisch? / …spanisch? / …französich ?,..Inglese? / ..tedesco? / ..spagnolo? / ..francese?,... engleski? / ... njemački? / ... španjolski? / ... Francuski?,anglicky / německy / španělsky / francouzsky,... angol? / ...német? / ... spanyol? / ... francia?,aglikà/germanikà/ispanikà/galikà,... engleski? / ... Nemački? / ... Španski? / ... Francuski?
"Mógłbyś mówić wolniej, proszę?","Could you speak slower, please?",Könntest du bitte langsamer sprechen ?,"Potresti parlare pi? lentamente, per favore?",možete govoriti sporije?,"Mohl byste mluvit pomaleji, prosím?","Tudna beszéljen lassabban, kérem?",boríte na milàte pió argà sas parakalò,"Možeš li govoriti sporije, molim?"
Nie rozumiem / Nie wiem,I don't understand / I don't know,Ich verstehe nicht / ich weiß nicht,(Io) non capisco / (io) non so,Ne razumijem / ne znam,Nerozumím / nevím,Nem értem / nem tudom,den katalavèno/den xèro,Ne razumem / ne znam
Mam ... lat / Ile masz lat?,I'm... [lub: I'm ...years old] / How old are you?,Ich bin…[Jahre alt] / Wie alt bist du ?,Io ho … anni / quanti anni hai?,Ja sam ... godina / Koliko imate godina?,Jsem 18 let / Kolik je vám let?,Én ... éves vagyok / Hány éves Ön?,ime...etòn/póso xronón íse,Imam ... godina / Koliko imaš godina?
Jestem autostopowiczem/ką z Polski,I'm a hitchkiker from Poland,Ich bin Tramper/in aus Polen,Io sono un autostoppista dalla Polonia,Ja sam autostoper iz Poljske,Jsem stopař z Polský,én stoppos a lengyel,kàno otostóp apó tin polonía,Ja sam autostoper iz Poljske
Jadę do... / Dokąd jedziesz?,I'm going to... / Where are you going to? [lub: Which dicrection are you heading],Ich fahre nach…/ Wohin fährst du ?,Io sto andando… / dove stai andando? [in quale direzione (stai andando) - (vai)?],Idem ... / Kamo ideš?,Jdu do ... / Kam jdeš?,Megyek ... / Hová mész?,pigèno sti(sto)/pou pigènis,Idem u ... / Kuda ideš?
Czy jedziesz w stronę...?,Are you going to...?,Fährst du in Richtung…?,Stai andando a…?,Ideš u smjeru ...?,Jdeš ve směru ...?,Mész az irányba ...ágban?,pigènis pros,Ideš li prema ...?
Czy podwieziesz mnie do... ?,Would you take me to... /Would you give me a lift to...?,Fährst du mich nach…?,Mi porteresti a… / Mi daresti un passaggio a…?,Učini mi vožnja na ...?,Udělej mi jízda na ...?,Tegyél meg egy kört ?,borís na mas pas méhri,Hoćeš li me odvesti u ...?
Czy mogę jechać z Panem/Panią?,Can I go with you?,Könnte ich mit Ihnen fahren ?,Posso venire con te?,Mogu li ići s tobom?,Můžu jít s tebou,Mehetek veletek?,borìte na mas pàrete,Mogu li ići sa Vama?
Czy możesz mi pomóc?,Can you help me?,Kannst du mir helfen ?,Mi puoi aiutare?,Možete li mi pomoći?,Můžete mi pomoci?,Tud nekem segíteni?,Borís na me voithísis,Možete li mi pomoći?
To dobrze / źle / idealnie,That's good / bad / perfect,Das ist gut / schlecht / ideal,Va bene / non va bene/ ? perfetto,To dobro / loše / savršena,Tato dobrá / špatná / perfektní,Ez jól / beteg / tökéletesen,kalós/kakós/idanikà,Dobro / loše / savršeno
Nie ma problemu,No problem,Das ist kein Problem,Nessun problema,nema problema,žádný problém,nincs probléma,den ipàrhi próvlima,Nema problema
Czy podwieziesz mnie za darmo?,Will you take me for free?,Fährst du mich kostenlos?,Mi porteresti portare gratuitamente?,Učini mi vožnja za besplatno?,Udělej mi jízda zdarma?,Tegyél meg egy kört mert díjmentesen?,tha mas pàrete xorís xréosi?,Hoćeš li me povesti besplatno?
Podróżuję autostopem,I am hitchhiking / I travel by hitchhiking.,Ich trampe,Sto facendo l'auto stop / io viaggio tramite auto stop,putuje stopira,cestování stopování,utazás autóstoppal,taxidévo me otostóp,Putujem autostopom / Stopiram
Nie mam pieniędzy,I don't have any money / I have no money,Ich habe kein Geld,Io non ho soldi,Nemam novca,Nemám peníze,Nincs pénzem,den éxo leftà,Nemam novca
Możesz mnie tutaj wysadzić?,Can you leave me here?,Kannst du mich hier aussteigen lassen ?,Puoi lasciarmi qui?,Možete me puhati ovdje?,Můžete mě vyhodit tady?,hagyhatom itt,mporís na mas katevàseis edo,Možeš li da me izbaciš ovde?
Chciał(a)bym wysiąść na/w...,I'd like to get off at/in...,Ich möchte [an/auf]/in…aussteigen,Potresti lasciarmi - farmi scendere al / alla,Želio bih sići na / u …,Chci vystoupit na / ve ...,Szeretnék leszállni ...,tha íthela na katévo sto,Volela/Voleo bih da izađem na/u ...
... stacji benzynowej / ...parkingu / ... przy autostradzie,... gas/petrol station / ... parking lot / ...near the highway,…an einer Tankstelle/…auf einem Parktplatz/ …bei der Autobahn,...Distributore - area di servizio / ...parcheggio / ...vicino all'autostrada,... benzinska / parkiralište / ... na autocesti,... čerpací stanice / parkování ... / ... na dálnici,benzinkút / parkolás / országút,venzinàdiko/pàrking/dròmo,... benzinskoj pumpi / ... parkingu / ... u blizini autoputa
Zostaw (wysadź) mnie na stacji benzynowej przy autostradzie.,Leave me on the gas station near the highway.,Lass mich an der Tankstelle bei der Autobahn aussteigen.,Lasciami (al ditributore) - (all'area di servizio) vicino all'autostrada.,Ostavi me na benzinskoj postaji na autocesti.,vyhodit mě na čerpací stanici na dálnici.,Hagyj én benzinkútnál az autópályán.,àfise me se kàpio venzinàdiko pàno sto drómo,Ostavite me na benzinskoj pumpi blizu autoputa
Gdzie jesteśmy?,Where are we?,Wo sind wir ?,Dove siamo?,Gdje smo?,Kde to jsme?,Hol vagyunk?,pu ímaste?,Gde smo?
Jak daleko jest...?,How far is...?,Wie weit ist…?,Quanto ? lontano..? / quanto dista..?,Koliko je daleko ...?,Jak daleko je ...?,Milyen messze van ...?,póso makrià íne?,Koliko je daleko ...?
Która godzina?,What time is it? / What's the time?,Wie viel Uhr ist es ?,Che ora ??,Koliko je sati?,Kolik je hodin?,Mennyi az idő?,ti óra íne?,Koliko je sati?
Dziękuję! / Miłego dnia!,Thank you! / Have a nice day!,Danke schön!/ Schönen Tag noch!,Grazie - ti ringrazio / ti auguro una buona giornata,Hvala! / Želim vam ugodan dan!,Děkuji! / Hezký den!,Köszönjük! / További szép napot!,efxaristó/kalí sas méra,Hvala! / Prijatno!
Szerokiej drogi!,Farewell!,Gute Fahrt!,Addio - arrivederci,sve najbolje,hodně štěstí,sok szerencsét,kaló drómo,Srećan put!
Nie dotykaj mnie! / Wypuść mnie!,Don't touch me! / Let me out!,Fass mich nicht an!/ Lass mich raus!,Non mi toccare! Lasciami solo - sola,Ne dirajte me! / Pusti me van!,Nesahejte na mě! / Pusť mě ven!,Ne érj hozzám! / engedj el,mi me akubàs/ase me na katévo,Ne diraj me! / Pusti me napolje!
Przestań! / Pomocy!,Stop it! / Help!,Hör auf! / Hilfe!,Smettila! Aiuto!,Stop! / pomoći!,Stop! / Pomoc!,Stop! / Segítség!,stamàta/voíthia,Stop! Prestani! / Pomoći!
Gdzie mogę kupić bilet?,Where can I buy a ticket?,"Wo kann ich eine Fahrkarte (kolejowy)/ einen Fahrschein (tramwajowy, autobusowy) / ein Ticket (lotniczy) kaufen ?",Dove posso comprare un biglietto?,Gdje mogu kupiti kartu?,Kde mohu koupit jízdenku?,Hol lehet jegyet venni?,pu mporó na pàro isitírio,Gde mogu da kupim kartu?
Gdzie mogę spać?,Where can I sleep?,Wo kann ich schlafen ?,Dove posso dormire?,Gdje mogu spavati?,Kde mohu spát?,Hol lehet aludni?,pu mporó na kimithó,Mogu li da spavam?
Gdzie mogę rozłożyć namiot?,Where can I put up my tent?/ Where can I pitch my tent?,Wo kann ich das Zelt aufschlagen?,Dove posso mettere la mia tenda? / dove posso piantare la mia tenda?,Gdje mogu širiti šator?,Kde mohu šířit stan?,Hol lehet terjeszteni a sátor?,pu mporó na stíso tin skiní,Gde mogu da postavim šator?
Gdzie znajduje się pole namiotowe?,Where can I find a campsite?,Wo befindet sich der Zeltplatz ?,Dove posso trovare un campeggio?,Gdje je kamp?,Kde je ten kemp?,Hol van a kempingben?,pu ine to kamping,Gde je kamp?
Co warto tutaj zobaczyć?,What's worth seeing in here?,Was ist hier sehenswert?,Cosa c'? da vedere di importante qui?,Ono što vidite ovdje?,Co stojí za vidění tady?,mit lehet itt látni,ti axízei na  do edó,Šta vredi videti ovde?
Czy możemy się zatrzymać?,Can we stop?,Können wir anhalten ?,Possiamo fermarci?,Možemo li zaustaviti?,Můžeme zastavit?,lehet megállítani itt?,borúme na stamatísoume,Možemo li da stanemo?
Muszę skorzystać z toalety,I need to use a restroom.,Ich muss die Toilette benutzen.,Ho bisogno di usare la toilette. - Ho bisogno di andare in bagno.,Moram koristiti toalet,Musím na toaletu,Azt kell használni a WC,thèlo na pào tualéta,Moram da koristim toalet
Chciałbym coś zjeść,I'd like to eat something.,Ich möchte etwas essen,Vorrei mangiare qualcosa.,Htio bih nešto pojesti,Rád bych něco k jídlu,Szeretnék valamit enni,thélo na fào,Jede mi se
Studiuję / pracuję,I study / I work,Ich studiere/ arbeite,(Io) studio / (io) lavoro,Studiram / radim,Studuji / práce,Tanulok / munka,spudàzo/dulévo,Studiram / radim
Mam chłopaka/dziewczynę/żonę/męża,I have a boyfriend/girlfriend/wife/husband,Ich habe einen [fester] Freund / eine[feste] Freundin / eine Frau/einen Mann,Io ho un fidanzato / fidanzata / moglie / marito,Imam dečka / djevojka / žena / muž,Mám přítele / přítelkyni / manželku / manžela,Van egy fiú barát / barátnő / feleség / férj,eho agóri/kopéla/ginéka/àntra,Imam dečka / devojku / ženu / muža
Jestem głodny/spragniony/chory,I'm hungry/thirsty/sick,Ich bin hungrig / durstig / krank,Ho fame / ho sete / sono ammalato (sto male),Gladan sam / žedna / bolesna,Mám hlad / žízeň / nemocný,Éhes vagyok / szomjas / beteg,pinào/dipsào/ime àrostos,"Ja sam gladan, gladna / žedan, žedna / bolestan, bolesna"
Jest mi zimno//gorąco,I'm feel cold/hot,Mir ist kalt/ mir ist heiß,Ho freddo / caldo,Ja sam hladno / toplo,Je mi zima / horko,itt van hideg / forró,kàni krío/zésti,Hladno mi je / Vruće mi je
Szukam miejsca do spania,I'm looking for a place to sleep,Ich bin auf der Suche nach dem Schlafplatz,Sto cercando un posto per dormire,Ja sam u potrazi za mjesto za spavanje,Já jsem hledal místo na spaní,"keresek egy helyet, ahol aludni",psàhno méros na kimithò,Tražim mesto za spavanje
Ile to kosztuje?,How much is it?,Wie viel kostet das ?,Quanto costa?,Koliko to košta?,Kolik to bude stát?,Mennyibe kerül?,póso kàni aftó,Koliko to košta?
Na zdrowie! / Smacznego!,Cheers! / Enjoy your meal!,Gesundheit! / guten Appetit!,Salute - cin cin / buon appetito,Živjeli! / Uživajte!,Na zdraví! / Užijte si to!,Egészségére! / Jó szórakozást!,gia mas/kalí órexi,Na zdravlje! / Prijatno!
Gdzie znajdę... ?,Where can I find...?,Wo finde ich…?,Dove posso trovare…?,Gdje mogu naći ...?,Kde najdu ...?,Hol találom ...?,pu tha vro,Gde da nađem ...?
- centrum miasta / mapę,- a city center / map,- das Stadtzentrum / eine Landkarte,Il centro citt? / una mappa,središte grada / karta,centrum / mapa,város / térkép,to kéntro/hàrti,centar grada / mapu
- toaletę / supermarket / aptekę / kemping,- a toilet / market / pharmacy / camping,- eine Toilette / einen Supermarkt / eine Apotheke / ein camping,Un - il bagno (toilette) / un - il market / una - la farmacia / un - il campeggio,WC / supermarket / ljekarne / kamp,WC / supermarket / lékárna / camping,WC / szupermarket / gyógyszertár / kemping,tualéta/supermarket/farmakío/kamping,toalet / supermarket / apoteku / kemping
- kafejkę internetową / bankomat / bank,- internet cafe / ATM / bank,- ein Internetcafé / einen Bankautomat/ eine bank,Internet point / bancomat / banca,CyberCafe / Bankomati / banka ,cybercafé / ATM / bank,Internet kávézó / ATM / bank,internet cafe/ATM/tràpeza,internet kafe / bankomat / banku
- metro / przystanek autobusowy / stację kolejową,- subway / bus stop / railway station,die U-Bahn / eine Bushaltestelle / den Bahnhof,Metropolitana / fernata del pullman (bus) / stazione ferroviaria,metro / autobusna stanica / željezničke stanice ,metro / Autobusová zastávka / nádraží,metró / buszmegálló / vasútállomás,metró/stàsi leoforíu/stàsi trénu,metro / autobusku stanicu / železničku stanicu
- tania restauracja / bar / sklep,- afordable restaurant / bar / shop,ein billiges Retaurant / eine billige Bar / ein billiges Geschäft,economici - a buon prezzo ristorante / bar / negozio,jeftino restoran / bar / dućan,strávník / bar / obchod,olcsó étterem / bár / üzlet,ftiní tavérna/bar/magazí,jeftin restoran / bar / prodavnicu
- autostradę do ... / dobre miejsce do autostopu,- highway to... / good spot for hitchhiking,die Autobahn nach…/ ein guter Platz zum Trampen,Autostrada per… / buon posto per l'auto stop,autocesta do / dobro mjesto za stopiranje,dálnice na / dobrém místě na stopovat,autópálya / egy jó hely a stoppolás,aftokinitòdromo/kaló simío otostop,autoput prema ... / dobro mesto za stopiranje
Woda / herbata / kawa,water / tea / cofee,[s] Wasser / [r] Tee / [r] Kaffee,Acqua / t? / caff?,Voda / čaj / kava,Voda / čaj / káva,víz / tea / kávé,nerò/tsài/kafés,Voda / čaj / kafa
Piwo / wino / sok,beer / wine / juice,[s] Bier / [r] Wein/ [r] Saft,Birra / vino / succo,Pivo / vino / sok ,Pivo / víno / džus,sör / bor / lé,mpíra/krasí/himós,Pivo / vino / sok
Śniadanie / obiad / kolacja,breakfast / dinner / supper,[r] Frühstück / [s] Mittagessen / [s] Abendessen,Colazione / pranzo - cena / cena,Doručak / ručak / večera ,Snídaně / oběd / večeře,reggeli / vacsora / vacsora,proinò/mesimerianò/vradinò,Doručak / ručak / večera
